magnitude,cdi,mmi,sig,nst,dmin,gap,depth,dt,tsunami,Latitude,Longitude
6.6,7,4,675,0,2.792,31,10,2015-11,0,6.8431,94.648
6.8,7,7,841,0,0.258,41,46,2015-11,1,-30.8796,-71.4519
6.5,5,7,657,0,1.53,21,20,2015-11,0,-8.3381,124.875
7.5,8,7,1448,0,0.622,18,231,2015-10,0,36.5244,70.3676
7.1,6,6,780,0,0.592,11,135,2015-10,1,-14.8595,167.303
6.6,7,7,671,0,2.486,13,18,2015-9,0,-0.6212,131.262
6.6,5,7,820,0,1.064,14,35,2015-9,1,-31.7275,-71.3792
6.7,5,7,718,0,0.853,35,23,2015-9,0,-31.5173,-71.804
6.5,6,7,657,0,0.749,62,27,2015-9,0,-31.4244,-71.6876
7,8,7,799,0,0.903,13,28.41,2015-9,0,-31.5622,-71.4262
8.3,9,8,1960,0,0.684,19,22.44,2015-9,1,-31.5729,-71.6744
6.7,5,5,708,0,1.256,123,10,2015-9,1,24.913,-109.623
6.5,0,5,650,0,2.045,16,6.43,2015-8,1,-9.3293,157.877
6.6,3,5,671,0,1.872,20,22,2015-8,1,-9.3438,158.053
7,9,7,762,0,6.278,12,48,2015-7,1,-2.6286,138.528
6.9,4,7,734,0,0.444,39,29,2015-7,1,52.376,-169.446
7,8,6,759,0,5.205,22,11,2015-7,1,-10.4012,165.141
6.5,4,4,686,0,1.218,20,20,2015-7,1,13.8672,-58.5479
6.7,4,5,691,0,1.529,11,12,2015-7,1,-9.307,158.403
6.5,3,4,652,0,2.277,11,460,2015-6,0,27.7375,139.725
7.8,6,3,1151,0,1.675,12,664,2015-5,1,27.8386,140.493
6.8,5,6,762,0,0,0,72.6,2015-5,1,56.594,-156.43
6.8,1,5,711,0,3.619,18,10,2015-5,1,-11.1093,163.215
6.9,1,4,732,0,4.024,22,11.19,2015-5,1,-11.0559,163.696
6.8,1,4,711,0,4.395,15,11,2015-5,1,-10.8759,164.169
6.8,8,6,831,0,1.422,8,35,2015-5,1,38.9056,142.032
7.3,8,7,1563,0,0.677,11,15,2015-5,0,27.8087,86.0655
7.1,1,6,776,0,3.835,11,10,2015-5,1,-7.2175,154.557
7.5,7,8,869,0,1.295,22,55,2015-5,1,-5.4624,151.875
6.8,5,6,714,0,1.074,23,44,2015-5,1,-5.2005,151.777
6.7,5,6,692,0,1.239,12,31,2015-4,1,-5.375,151.771
6.7,7,7,1016,0,0.727,13,22.91,2015-4,0,27.7711,86.0173
6.6,8,7,733,0,1.778,16,10,2015-4,0,28.2244,84.8216
7.8,8,9,2820,0,1.857,12,8.22,2015-4,0,28.2305,84.7314
6.5,0,5,650,0,3.702,42,10,2015-4,1,-15.8815,-178.6
6.5,2,5,650,0,4.629,36,11,2015-3,1,-15.4994,-173.029
7.5,6,7,872,0,0.666,19,41,2015-3,1,-4.7294,152.562
7,4,6,760,0,1.362,12,552.06,2015-2,0,-7.2968,122.535
6.7,5,5,714,0,1.925,20,23,2015-2,1,39.8558,142.881
6.7,4,6,700,0,2.11,16,223,2015-2,1,-23.1125,-66.688
6.8,1,4,711,0,2.019,13,219.96,2015-1,1,-17.0309,168.52
6.5,1,4,650,0,4.318,61,8,2015-1,1,5.9045,-82.6576
6.6,7,6,709,0,2.485,43,20,2014-12,1,7.9401,-82.6865
6.6,1,5,670,0,3.246,12,23,2014-12,1,-6.5108,154.46
6.6,1,3,670,0,2.6,9,614,2014-12,0,6.1572,123.126
6.8,6,5,713,0,1.421,19,39,2014-11,1,1.9604,126.575
6.5,5,5,652,0,1.549,9,35,2014-11,1,2.2999,127.056
6.7,7,4,698,0,1.079,25,22,2014-11,1,-37.6478,179.662
7.1,4,6,779,0,1.397,18,45,2014-11,1,1.8929,126.522
6.6,2,6,671,0,3.557,13,53.19,2014-11,1,-5.9873,148.232
7.1,3,6,776,0,4.415,13,434,2014-11,1,-19.6903,-177.759
7.3,8,6,982,0,1.078,18,40,2014-10,1,12.5262,-88.1225
6.7,5,5,724,0,0.46,11,130,2014-9,1,13.7641,144.429
6.8,6,6,741,0,4.107,18,101,2014-8,1,-14.598,-73.5714
6.9,0,4,732,0,6.393,12,13,2014-8,1,0.8295,146.169
6.9,0,6,732,0,3.934,15,615.42,2014-7,1,-19.8015,-178.4
6.5,5,4,706,0,2.421,9,20,2014-7,1,37.0052,142.452
6.9,8,7,1079,0,0.263,51,53,2014-7,1,14.724,-92.4614
6.5,0,4,650,0,2.124,15,20,2014-7,1,-6.2304,152.807
6.7,0,5,691,0,6.713,45,18,2014-6,1,-14.9831,-175.51
6.9,0,5,732,0,4.838,25,8,2014-6,1,-55.4703,-28.3669
7.9,6,8,963,0,0.133,22,109,2014-6,1,51.8486,178.735
6.7,0,5,691,0,0.748,43,26.59,2014-6,0,-29.9414,-177.607
6.5,0,5,650,0,0.778,30,10,2014-6,0,-29.9379,-177.516
6.9,0,5,732,0,0.751,35,20,2014-6,1,-29.9772,-177.725
6.9,9,7,951,0,0.402,25,6.43,2014-5,0,40.2893,25.3889
6.5,7,5,694,0,3.121,33,10,2014-5,1,7.2096,-82.3045
6.6,0,5,670,0,3.34,10,106,2014-5,1,-21.4542,170.355
6.5,4,6,838,0,0,0,10,2014-4,1,49.6388,-127.732
7.5,0,6,865,0,3.82,16,43.37,2014-4,1,-6.7547,155.024
6.6,0,6,670,0,3.803,11,29,2014-4,1,-6.6558,155.087
7.2,8,7,1017,0,2.25,46,24,2014-4,1,17.397,-100.972
6.6,0,6,670,0,2.666,22,10,2014-4,0,-11.1284,162.052
7.4,0,6,842,0,2.885,17,39,2014-4,1,-11.4633,162.051
7.6,0,7,889,0,2.828,13,22.56,2014-4,1,-11.2701,162.148
6.6,6,5,677,0,0.761,20,135,2014-4,1,11.642,-85.8779
6.5,0,6,650,0,3.787,16,20,2014-4,1,-6.7878,154.95
7.1,0,7,776,0,3.729,21,60.53,2014-4,1,-6.5858,155.048
7.7,8,9,1057,0,1.029,44,22.4,2014-4,1,-20.5709,-70.4931
6.5,7,7,670,0,0.828,82,24.07,2014-4,0,-20.3113,-70.5756
6.9,0,5,732,0,0.828,119,28.42,2014-4,0,-19.8927,-70.9455
8.2,9,8,1332,0,0.609,23,25,2014-4,1,-19.6097,-70.7691
6.7,7,7,718,0,1.008,44,20,2014-3,1,-19.9807,-70.7022
6.8,5,5,1211,112,0.6568,229,16.441,2014-3,1,40.8287,-125.134
6.5,4,5,668,0,1.001,17,119,2014-3,1,27.4312,127.367
6.5,5,4,681,0,1.635,30,14.83,2014-2,1,14.6682,-58.9272
6.9,3,8,733,0,7.496,18,10,2014-2,0,35.9053,82.5864
